               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  45,            0.023117,           0.0090343,            0.038439,             0.50286,             0.72186,             0.60379,             0.48409,            0.019157,           0.0025306,            0.028263,            0.008911,            0.008911,            0.008911
                  46,            0.023404,           0.0089561,            0.039436,             0.45265,             0.68839,             0.58629,             0.46938,            0.017012,           0.0024581,            0.026668,           0.0088863,           0.0088863,           0.0088863
                  47,            0.023738,           0.0087169,            0.037284,             0.49829,             0.71541,             0.59529,             0.47708,            0.018079,           0.0025482,            0.030632,           0.0088615,           0.0088615,           0.0088615
                  48,            0.023281,           0.0088525,            0.037954,             0.40926,             0.73631,              0.5827,             0.46392,            0.017989,           0.0024399,            0.029579,           0.0088368,           0.0088368,           0.0088368
                  49,            0.023595,           0.0088853,             0.03855,              0.4657,             0.76293,             0.58741,             0.47541,             0.01757,           0.0024371,            0.028357,            0.008812,            0.008812,            0.008812
                  50,            0.023106,           0.0087272,            0.036957,             0.49484,              0.7007,             0.61821,             0.49786,            0.017093,           0.0024026,            0.025207,           0.0087872,           0.0087872,           0.0087872
                  51,            0.022784,           0.0088436,            0.037492,             0.49855,             0.68149,             0.59414,              0.4769,            0.016841,           0.0025059,            0.024908,           0.0087625,           0.0087625,           0.0087625
                  52,             0.02377,           0.0091956,            0.038311,             0.45415,              0.7186,             0.56268,             0.44977,            0.018796,            0.002503,            0.028759,           0.0087378,           0.0087378,           0.0087378
                  53,            0.023618,           0.0090822,            0.037959,              0.5075,             0.66388,             0.58539,             0.46413,            0.018195,           0.0024665,            0.024913,            0.008713,            0.008713,            0.008713
                  54,            0.023423,           0.0089063,            0.037451,             0.48428,             0.65949,             0.58973,             0.47263,            0.019721,           0.0024823,            0.025449,           0.0086882,           0.0086882,           0.0086882
                  55,             0.02356,           0.0089435,            0.036468,              0.4527,             0.76788,             0.59208,             0.47924,            0.018414,           0.0024125,            0.027077,           0.0086635,           0.0086635,           0.0086635
